group,subj_idx,induction,prime_valence,target_valence,x0,condition
normal,55777851,shape,positive,negative,0.5120616604306213,shape_positive_negative
normal,55777851,shape,positive,positive,0.3291462126332738,shape_positive_positive
normal,55779767,emotion,negative,negative,-0.4581154876643266,emotion_negative_negative
normal,55779767,emotion,negative,positive,0.321750704002579,emotion_negative_positive
normal,55779767,emotion,positive,negative,-0.6555118772106284,emotion_positive_negative
normal,55779767,emotion,positive,positive,0.4238835060147782,emotion_positive_positive
normal,55779767,shape,negative,negative,0.0234781419302918,shape_negative_negative
normal,55779767,shape,negative,positive,0.5165636363308119,shape_negative_positive
normal,55779767,shape,positive,negative,-0.6109200128998097,shape_positive_negative
normal,55779767,shape,positive,positive,0.3408973391594765,shape_positive_positive
normal,55781652,emotion,negative,negative,0.2901270292832434,emotion_negative_negative
normal,55781652,emotion,negative,positive,0.1269007420978583,emotion_negative_positive
normal,55781652,emotion,positive,negative,-0.0602988411059404,emotion_positive_negative
normal,55781652,emotion,positive,positive,-0.2153018040455378,emotion_positive_positive
normal,55781652,shape,negative,negative,0.3159262963747549,shape_negative_negative
normal,55781652,shape,negative,positive,-0.5274315987798263,shape_negative_positive
normal,55781652,shape,positive,negative,0.7478008813898205,shape_positive_negative
normal,55781652,shape,positive,positive,0.648150550600728,shape_positive_positive
normal,55850187,emotion,negative,negative,-0.2267294176157522,emotion_negative_negative
normal,55850187,emotion,negative,positive,0.5418839327869511,emotion_negative_positive
normal,55850187,emotion,positive,negative,-0.5119749786027966,emotion_positive_negative
normal,55850187,emotion,positive,positive,-0.0771048436101796,emotion_positive_positive
normal,55850187,shape,negative,negative,-0.4641600374154508,shape_negative_negative
normal,55850187,shape,negative,positive,0.2070393134879856,shape_negative_positive
normal,55850187,shape,positive,negative,-0.3902731231937881,shape_positive_negative
normal,55850187,shape,positive,positive,0.2890284940406806,shape_positive_positive
normal,55852656,emotion,negative,negative,0.2798244249650883,emotion_negative_negative
normal,55852656,emotion,negative,positive,-0.3460415167281661,emotion_negative_positive
normal,55852656,emotion,positive,negative,0.3361757532556038,emotion_positive_negative
normal,55852656,emotion,positive,positive,0.735540742488825,emotion_positive_positive
normal,55852656,shape,negative,negative,0.3966754792729415,shape_negative_negative
normal,55852656,shape,negative,positive,0.1520177610098134,shape_negative_positive
normal,55852656,shape,positive,negative,-0.2846002892960768,shape_positive_negative
normal,55852656,shape,positive,positive,0.1509103715416087,shape_positive_positive
normal,55854618,emotion,negative,negative,-0.063515008972137,emotion_negative_negative
normal,55854618,emotion,negative,positive,0.1253860390046692,emotion_negative_positive
normal,55854618,emotion,positive,negative,-0.2365304738695308,emotion_positive_negative
normal,55854618,emotion,positive,positive,-0.1684324275093508,emotion_positive_positive
normal,55854618,shape,negative,negative,-0.1204224409154884,shape_negative_negative
normal,55854618,shape,negative,positive,-0.4426082711627361,shape_negative_positive
normal,55854618,shape,positive,negative,0.0882461238779712,shape_positive_negative
normal,55854618,shape,positive,positive,0.0360212591845507,shape_positive_positive
normal,55860282,emotion,negative,negative,-0.5567257678258134,emotion_negative_negative
normal,55860282,emotion,negative,positive,0.7857878162830024,emotion_negative_positive
normal,55860282,emotion,positive,negative,0.5605432209005347,emotion_positive_negative
normal,55860282,emotion,positive,positive,0.0849914133916723,emotion_positive_positive
normal,55860282,shape,negative,negative,-0.3111703888344149,shape_negative_negative
normal,55860282,shape,negative,positive,0.7120004423487295,shape_negative_positive
normal,55860282,shape,positive,negative,0.2078216437758971,shape_positive_negative
normal,55860282,shape,positive,positive,-0.1869909755316109,shape_positive_positive
normal,55862633,emotion,negative,negative,-0.270035956584363,emotion_negative_negative
normal,55862633,emotion,negative,positive,0.0126761560991429,emotion_negative_positive
normal,55862633,emotion,positive,negative,-0.4819368841748479,emotion_positive_negative
normal,55862633,emotion,positive,positive,0.0566693830411515,emotion_positive_positive
normal,55862633,shape,negative,negative,0.0883891996399698,shape_negative_negative
normal,55862633,shape,negative,positive,0.4968715496243557,shape_negative_positive
normal,55862633,shape,positive,negative,-0.5097892125922276,shape_positive_negative
normal,55862633,shape,positive,positive,0.0239450235187813,shape_positive_positive
normal,55864604,emotion,negative,negative,-0.0909868055197442,emotion_negative_negative
normal,55864604,emotion,negative,positive,0.1771907470121105,emotion_negative_positive
normal,55864604,emotion,positive,negative,-0.1798330686909685,emotion_positive_negative
normal,55864604,emotion,positive,positive,0.2001210435150724,emotion_positive_positive
normal,55864604,shape,negative,negative,0.0286033253569185,shape_negative_negative
normal,55864604,shape,negative,positive,-0.0666522812365501,shape_negative_positive
normal,55864604,shape,positive,negative,-0.4631396591212518,shape_positive_negative
normal,55864604,shape,positive,positive,0.7867704645109473,shape_positive_positive
normal,55866572,emotion,negative,negative,0.1927481728937634,emotion_negative_negative
normal,55866572,emotion,negative,positive,0.5495228987978928,emotion_negative_positive
normal,55866572,emotion,positive,negative,-0.0593510123463265,emotion_positive_negative
normal,55866572,emotion,positive,positive,0.8087121401176981,emotion_positive_positive
normal,55866572,shape,negative,negative,0.1905541931594042,shape_negative_negative
normal,55866572,shape,negative,positive,-0.2133229459198331,shape_negative_positive
normal,55866572,shape,positive,negative,-0.4875155135937705,shape_positive_negative
normal,55866572,shape,positive,positive,0.1899142218862623,shape_positive_positive
normal,55868471,emotion,negative,negative,-0.5711397357946021,emotion_negative_negative
normal,55868471,emotion,negative,positive,0.0407398058195623,emotion_negative_positive
normal,55868471,emotion,positive,negative,-0.0639645328272936,emotion_positive_negative
normal,55868471,emotion,positive,positive,0.0578831008530606,emotion_positive_positive
normal,55868471,shape,negative,negative,-0.1851660862744355,shape_negative_negative
normal,55868471,shape,negative,positive,0.5741573416376999,shape_negative_positive
normal,55868471,shape,positive,negative,0.5201526992824951,shape_positive_negative
normal,55868471,shape,positive,positive,-0.092535591513529,shape_positive_positive
normal,55918750,emotion,negative,negative,-0.140310567693924,emotion_negative_negative
normal,55918750,emotion,negative,positive,-0.3749625127738771,emotion_negative_positive
normal,55918750,emotion,positive,negative,0.1994362282589231,emotion_positive_negative
normal,55918750,emotion,positive,positive,0.3804942038595853,emotion_positive_positive
normal,55918750,shape,negative,negative,0.0630151540058944,shape_negative_negative
normal,55918750,shape,negative,positive,0.6222673975440883,shape_negative_positive
normal,55918750,shape,positive,negative,0.6083006378301784,shape_positive_negative
normal,55918750,shape,positive,positive,-0.2830738355208021,shape_positive_positive
normal,55928394,emotion,negative,negative,-0.3994058508538533,emotion_negative_negative
normal,55928394,emotion,negative,positive,0.1809286594755332,emotion_negative_positive
normal,55928394,emotion,positive,negative,-0.2477059672004208,emotion_positive_negative
normal,55928394,emotion,positive,positive,-0.1874580426286679,emotion_positive_positive
normal,55928394,shape,negative,negative,-0.682517401040519,shape_negative_negative
normal,55928394,shape,negative,positive,0.2609586627574531,shape_negative_positive
normal,55928394,shape,positive,negative,0.1496772315171526,shape_positive_negative
normal,55928394,shape,positive,positive,-0.0175504256794099,shape_positive_positive
normal,55931580,emotion,negative,negative,-0.1366295061956969,emotion_negative_negative
normal,55931580,emotion,negative,positive,0.1846281610376549,emotion_negative_positive
normal,55931580,emotion,positive,negative,-0.4460871821608036,emotion_positive_negative
normal,55931580,emotion,positive,positive,0.5311654402695154,emotion_positive_positive
normal,55931580,shape,negative,negative,-0.5437610685748033,shape_negative_negative
normal,55931580,shape,negative,positive,-0.3040952540895645,shape_negative_positive
normal,55931580,shape,positive,negative,-0.3030815898258506,shape_positive_negative
normal,55931580,shape,positive,positive,0.2299207250313568,shape_positive_positive
normal,55936390,emotion,negative,negative,0.0504514700307656,emotion_negative_negative
normal,55936390,emotion,negative,positive,-0.4130537779430894,emotion_negative_positive
normal,55936390,emotion,positive,negative,0.5677572845501325,emotion_positive_negative
normal,55936390,emotion,positive,positive,0.7038296156068471,emotion_positive_positive
normal,55936390,shape,negative,negative,0.1815132571876456,shape_negative_negative
normal,55936390,shape,negative,positive,-0.8524895364741956,shape_negative_positive
normal,55936390,shape,positive,negative,-0.3221084315478144,shape_positive_negative
normal,55936390,shape,positive,positive,-0.0937089362073035,shape_positive_positive
normal,55938914,emotion,negative,negative,-0.3522032053868328,emotion_negative_negative
normal,55938914,emotion,negative,positive,0.6365101087463644,emotion_negative_positive
normal,55938914,emotion,positive,negative,-0.0242463512678688,emotion_positive_negative
normal,55938914,emotion,positive,positive,0.70142155147561,emotion_positive_positive
normal,55938914,shape,negative,negative,0.0571531359759676,shape_negative_negative
normal,55938914,shape,negative,positive,0.5592132238077346,shape_negative_positive
normal,55938914,shape,positive,negative,-0.0433141473806183,shape_positive_negative
normal,55938914,shape,positive,positive,0.5917139674431563,shape_positive_positive
normal,55949248,emotion,negative,negative,-0.1379761079364104,emotion_negative_negative
normal,55949248,emotion,negative,positive,-0.3894516865085831,emotion_negative_positive
normal,55949248,emotion,positive,negative,-0.251920714302086,emotion_positive_negative
normal,55949248,emotion,positive,positive,0.4880833369988463,emotion_positive_positive
normal,55949248,shape,negative,negative,-0.1295740670266389,shape_negative_negative
normal,55949248,shape,negative,positive,0.555152337699767,shape_negative_positive
normal,55949248,shape,positive,negative,-0.2709964160286656,shape_positive_negative
normal,55949248,shape,positive,positive,0.3787425197763999,shape_positive_positive
normal,55951038,emotion,negative,negative,-0.4575675166418405,emotion_negative_negative
normal,55951038,emotion,negative,positive,0.6992608546866022,emotion_negative_positive
normal,55951038,emotion,positive,negative,-0.1077606432373075,emotion_positive_negative
normal,55951038,emotion,positive,positive,0.5816281465144291,emotion_positive_positive
normal,55951038,shape,negative,negative,-0.268563910054886,shape_negative_negative
normal,55951038,shape,negative,positive,0.554364000722683,shape_negative_positive
normal,55951038,shape,positive,negative,-0.4588485983326888,shape_positive_negative
normal,55951038,shape,positive,positive,0.3962381808483909,shape_positive_positive
normal,56015648,emotion,negative,negative,0.0204724427580428,emotion_negative_negative
normal,56015648,emotion,negative,positive,0.5579265546854318,emotion_negative_positive
normal,56015648,emotion,positive,negative,-0.0013007030369905,emotion_positive_negative
normal,56015648,emotion,positive,positive,0.4851856470938584,emotion_positive_positive
normal,56015648,shape,negative,negative,-0.4646400517276805,shape_negative_negative
normal,56015648,shape,negative,positive,0.1624082949929477,shape_negative_positive
normal,56015648,shape,positive,negative,-0.4586810785867019,shape_positive_negative
normal,56015648,shape,positive,positive,0.018815526248345,shape_positive_positive
normal,56020297,emotion,negative,negative,-0.1650393816570315,emotion_negative_negative
normal,56020297,emotion,negative,positive,0.609737085305026,emotion_negative_positive
normal,56020297,emotion,positive,negative,-0.0372737384870957,emotion_positive_negative
normal,56020297,emotion,positive,positive,0.4840832944535494,emotion_positive_positive
normal,56020297,shape,negative,negative,-0.2220998399725645,shape_negative_negative
normal,56020297,shape,negative,positive,0.4162355149506437,shape_negative_positive
normal,56020297,shape,positive,negative,-0.6545142614581878,shape_positive_negative
normal,56020297,shape,positive,positive,0.4535199245512708,shape_positive_positive
normal,56024896,emotion,negative,negative,-0.3608345100873784,emotion_negative_negative
normal,56024896,emotion,negative,positive,0.4101171733015572,emotion_negative_positive
normal,56024896,emotion,positive,negative,0.1603993729311568,emotion_positive_negative
normal,56024896,emotion,positive,positive,0.5449576810229403,emotion_positive_positive
normal,56024896,shape,negative,negative,-0.1861301045213367,shape_negative_negative
normal,56024896,shape,negative,positive,-0.1952506018207518,shape_negative_positive
normal,56024896,shape,positive,negative,-0.3974034546490052,shape_positive_negative
normal,56024896,shape,positive,positive,0.6051020342120818,shape_positive_positive
normal,56027303,emotion,negative,negative,-0.6430418722513627,emotion_negative_negative
normal,56027303,emotion,negative,positive,-0.0102949511488172,emotion_negative_positive
normal,56027303,emotion,positive,negative,-0.673140578536632,emotion_positive_negative
normal,56027303,emotion,positive,positive,0.3183170700813462,emotion_positive_positive
normal,56027303,shape,negative,negative,0.0201387480369392,shape_negative_negative
normal,56027303,shape,negative,positive,0.6583628966267184,shape_negative_positive
normal,56027303,shape,positive,negative,-0.4528207509710391,shape_positive_negative
normal,56027303,shape,positive,positive,0.7030850894838229,shape_positive_positive
normal,56035722,emotion,negative,negative,-0.2651620203557305,emotion_negative_negative
normal,56035722,emotion,negative,positive,0.4089662936875173,emotion_negative_positive
normal,56035722,emotion,positive,negative,-0.3360474276663293,emotion_positive_negative
normal,56035722,emotion,positive,positive,0.6347705191092299,emotion_positive_positive
normal,56035722,shape,negative,negative,-0.6708775640490814,shape_negative_negative
normal,56035722,shape,negative,positive,-0.0543093120118621,shape_negative_positive
normal,56035722,shape,positive,negative,-0.1778440305947895,shape_positive_negative
normal,56035722,shape,positive,positive,0.1270439644875689,shape_positive_positive
normal,56040135,emotion,negative,negative,0.1965586082948596,emotion_negative_negative
normal,56040135,emotion,negative,positive,0.2821780781274942,emotion_negative_positive
normal,56040135,emotion,positive,negative,-0.2880888473272754,emotion_positive_negative
normal,56040135,emotion,positive,positive,0.1441372689255784,emotion_positive_positive
normal,56040135,shape,negative,negative,-0.786060297969571,shape_negative_negative
normal,56040135,shape,negative,positive,0.3266863399316048,shape_negative_positive
normal,56040135,shape,positive,negative,0.0038110390825739,shape_positive_negative
normal,56040135,shape,positive,positive,0.6443052104827972,shape_positive_positive
