group,subj_idx,induction,prime_valence,target_valence,nondectime,condition
normal,55850187,shape,negative,negative,0.3893708447961094,shape_negative_negative
normal,55850187,shape,negative,positive,0.2522402480598319,shape_negative_positive
normal,55850187,shape,positive,negative,0.375944680031354,shape_positive_negative
normal,55850187,shape,positive,positive,0.2286788200251684,shape_positive_positive
normal,55852656,emotion,negative,negative,0.3507143514562571,emotion_negative_negative
normal,55852656,emotion,negative,positive,0.2493908904170829,emotion_negative_positive
normal,55852656,emotion,positive,negative,0.272481210495435,emotion_positive_negative
normal,55852656,emotion,positive,positive,0.3189428892108664,emotion_positive_positive
normal,55852656,shape,negative,negative,0.2991684828324631,shape_negative_negative
normal,55852656,shape,negative,positive,0.330303788328455,shape_negative_positive
normal,55852656,shape,positive,negative,0.302816078916969,shape_positive_negative
normal,55852656,shape,positive,positive,0.2238188882488505,shape_positive_positive
normal,55854618,emotion,negative,negative,0.3743989482624095,emotion_negative_negative
normal,55854618,emotion,negative,positive,0.2295307169871767,emotion_negative_positive
normal,55854618,emotion,positive,negative,0.3058140087636379,emotion_positive_negative
normal,55854618,emotion,positive,positive,0.3455393066091348,emotion_positive_positive
normal,55854618,shape,negative,negative,0.419382008218466,shape_negative_negative
normal,55854618,shape,negative,positive,0.329808006684795,shape_negative_positive
normal,55854618,shape,positive,negative,0.3754477730509588,shape_positive_negative
normal,55854618,shape,positive,positive,0.3605280587087905,shape_positive_positive
normal,55860282,emotion,negative,negative,0.3816717748696561,emotion_negative_negative
normal,55860282,emotion,negative,positive,0.4399605777488755,emotion_negative_positive
normal,55860282,emotion,positive,negative,0.2003300646939758,emotion_positive_negative
normal,55860282,emotion,positive,positive,0.3087003201357238,emotion_positive_positive
normal,55860282,shape,negative,negative,0.339716379440025,shape_negative_negative
normal,55860282,shape,negative,positive,0.4300212322545439,shape_negative_positive
normal,55860282,shape,positive,negative,0.3787120911358891,shape_positive_negative
normal,55860282,shape,positive,positive,0.2139261435653242,shape_positive_positive
normal,55862633,emotion,negative,negative,0.407815217822256,emotion_negative_negative
normal,55862633,emotion,negative,positive,0.3577598860601509,emotion_negative_positive
normal,55862633,emotion,positive,negative,0.4230072413588255,emotion_positive_negative
normal,55862633,emotion,positive,positive,0.3757287884927725,emotion_positive_positive
normal,55862633,shape,negative,negative,0.2041677521187039,shape_negative_negative
normal,55862633,shape,negative,positive,0.4760094531662923,shape_negative_positive
normal,55862633,shape,positive,negative,0.3756715920529963,shape_positive_negative
normal,55862633,shape,positive,positive,0.2503233988967532,shape_positive_positive
normal,55864604,emotion,negative,negative,0.3703684003462037,emotion_negative_negative
normal,55864604,emotion,negative,positive,0.3343023461567512,emotion_negative_positive
normal,55864604,emotion,positive,negative,0.3757053768939744,emotion_positive_negative
normal,55864604,emotion,positive,positive,0.2468488772616994,emotion_positive_positive
normal,55864604,shape,negative,negative,0.2127004115361658,shape_negative_negative
normal,55864604,shape,negative,positive,0.2062540227193413,shape_negative_positive
normal,55864604,shape,positive,negative,0.4336474064397943,shape_positive_negative
normal,55864604,shape,positive,positive,0.316096262966129,shape_positive_positive
normal,55866572,emotion,negative,negative,0.3727159259570198,emotion_negative_negative
normal,55866572,emotion,negative,positive,0.3462348281858802,emotion_negative_positive
normal,55866572,emotion,positive,negative,0.235117126992677,emotion_positive_negative
normal,55866572,emotion,positive,positive,0.3927253010199938,emotion_positive_positive
normal,55866572,shape,negative,negative,0.3771821841349901,shape_negative_negative
normal,55866572,shape,negative,positive,0.350928490578194,shape_negative_positive
normal,55866572,shape,positive,negative,0.3788465739230496,shape_positive_negative
normal,55866572,shape,positive,positive,0.2814423360596307,shape_positive_positive
normal,55868471,emotion,negative,negative,0.2005480731761976,emotion_negative_negative
normal,55868471,emotion,negative,positive,0.202603762620666,emotion_negative_positive
normal,55868471,emotion,positive,negative,0.208289244104822,emotion_positive_negative
normal,55868471,emotion,positive,positive,0.260082277455026,emotion_positive_positive
normal,55868471,shape,negative,negative,0.2517884300473881,shape_negative_negative
normal,55868471,shape,negative,positive,0.318236261354118,shape_negative_positive
normal,55868471,shape,positive,negative,0.2004712075852794,shape_positive_negative
normal,55868471,shape,positive,positive,0.200744744849992,shape_positive_positive
normal,55918750,emotion,negative,negative,0.2021567277091891,emotion_negative_negative
normal,55918750,emotion,negative,positive,0.2910080127046642,emotion_negative_positive
normal,55918750,emotion,positive,negative,0.3123826021332097,emotion_positive_negative
normal,55918750,emotion,positive,positive,0.3147169042028868,emotion_positive_positive
normal,55918750,shape,negative,negative,0.2399857451325205,shape_negative_negative
normal,55918750,shape,negative,positive,0.3207541052236133,shape_negative_positive
normal,55918750,shape,positive,negative,0.2010195149462,shape_positive_negative
normal,55918750,shape,positive,positive,0.2781428635516116,shape_positive_positive
normal,55928394,emotion,negative,negative,0.3401337642917886,emotion_negative_negative
normal,55928394,emotion,negative,positive,0.200431273690842,emotion_negative_positive
normal,55928394,emotion,positive,negative,0.3399888121285179,emotion_positive_negative
normal,55928394,emotion,positive,positive,0.2264109664136784,emotion_positive_positive
normal,55928394,shape,negative,negative,0.4645214813612036,shape_negative_negative
normal,55928394,shape,negative,positive,0.3694793089411414,shape_negative_positive
normal,55928394,shape,positive,negative,0.3078277497010218,shape_positive_negative
normal,55928394,shape,positive,positive,0.2569926751954217,shape_positive_positive
normal,55931580,emotion,negative,negative,0.4092245754803602,emotion_negative_negative
normal,55931580,emotion,negative,positive,0.3313312935809673,emotion_negative_positive
normal,55931580,emotion,positive,negative,0.2415928254659032,emotion_positive_negative
normal,55931580,emotion,positive,positive,0.3641935932685926,emotion_positive_positive
normal,55931580,shape,negative,negative,0.3671476337682975,shape_negative_negative
normal,55931580,shape,negative,positive,0.2446022229560959,shape_negative_positive
normal,55931580,shape,positive,negative,0.3697881264442436,shape_positive_negative
normal,55931580,shape,positive,positive,0.3137844295751172,shape_positive_positive
normal,55936390,emotion,negative,negative,0.2419067857094079,emotion_negative_negative
normal,55936390,emotion,negative,positive,0.3052354607738523,emotion_negative_positive
normal,55936390,emotion,positive,negative,0.2214088877046802,emotion_positive_negative
normal,55936390,emotion,positive,positive,0.200573382367959,emotion_positive_positive
normal,55936390,shape,negative,negative,0.2012603420140643,shape_negative_negative
normal,55936390,shape,negative,positive,0.2359793815480707,shape_negative_positive
normal,55936390,shape,positive,negative,0.3085609963934689,shape_positive_negative
normal,55936390,shape,positive,positive,0.2596770774893917,shape_positive_positive
normal,55938914,emotion,negative,negative,0.4740572996076003,emotion_negative_negative
normal,55938914,emotion,negative,positive,0.4731657878335287,emotion_negative_positive
normal,55938914,emotion,positive,negative,0.214374380314713,emotion_positive_negative
normal,55938914,emotion,positive,positive,0.4338841079781419,emotion_positive_positive
normal,55938914,shape,negative,negative,0.3146844158431935,shape_negative_negative
normal,55938914,shape,negative,positive,0.4826594581754904,shape_negative_positive
normal,55938914,shape,positive,negative,0.3683064399213604,shape_positive_negative
normal,55938914,shape,positive,positive,0.4279908484702838,shape_positive_positive
normal,55949248,emotion,negative,negative,0.2009415161831765,emotion_negative_negative
normal,55949248,emotion,negative,positive,0.2323127059858835,emotion_negative_positive
normal,55949248,emotion,positive,negative,0.3554241705571596,emotion_positive_negative
normal,55949248,emotion,positive,positive,0.2128198982900278,emotion_positive_positive
normal,55949248,shape,negative,negative,0.3476978482845935,shape_negative_negative
normal,55949248,shape,negative,positive,0.2293395336496695,shape_negative_positive
normal,55949248,shape,positive,negative,0.3527326985584004,shape_positive_negative
normal,55949248,shape,positive,positive,0.2001308809940399,shape_positive_positive
normal,55951038,emotion,negative,negative,0.2914660546942173,emotion_negative_negative
normal,55951038,emotion,negative,positive,0.3432358764037196,emotion_negative_positive
normal,55951038,emotion,positive,negative,0.2023680069300481,emotion_positive_negative
normal,55951038,emotion,positive,positive,0.3369937070193663,emotion_positive_positive
normal,55951038,shape,negative,negative,0.3029405418232627,shape_negative_negative
normal,55951038,shape,negative,positive,0.4058348348170142,shape_negative_positive
normal,55951038,shape,positive,negative,0.354569673672611,shape_positive_negative
normal,55951038,shape,positive,positive,0.200983794472652,shape_positive_positive
normal,56015648,emotion,negative,negative,0.3447769636768829,emotion_negative_negative
normal,56015648,emotion,negative,positive,0.2147667935794938,emotion_negative_positive
normal,56015648,emotion,positive,negative,0.200623349674661,emotion_positive_negative
normal,56015648,emotion,positive,positive,0.3401211689276484,emotion_positive_positive
normal,56015648,shape,negative,negative,0.3509957814833338,shape_negative_negative
normal,56015648,shape,negative,positive,0.20041623392825,shape_negative_positive
normal,56015648,shape,positive,negative,0.3652604289726968,shape_positive_negative
normal,56015648,shape,positive,positive,0.2373031895226538,shape_positive_positive
normal,56020297,emotion,negative,negative,0.2009291610531363,emotion_negative_negative
normal,56020297,emotion,negative,positive,0.3520724931704865,emotion_negative_positive
normal,56020297,emotion,positive,negative,0.2398241431236384,emotion_positive_negative
normal,56020297,emotion,positive,positive,0.2568783106167484,emotion_positive_positive
normal,56020297,shape,negative,negative,0.2009644542199653,shape_negative_negative
normal,56020297,shape,negative,positive,0.2621339842061463,shape_negative_positive
normal,56020297,shape,positive,negative,0.451348941278088,shape_positive_negative
normal,56020297,shape,positive,positive,0.3413878394682774,shape_positive_positive
normal,56024896,emotion,negative,negative,0.2004087569014618,emotion_negative_negative
normal,56024896,emotion,negative,positive,0.3671039653950405,emotion_negative_positive
normal,56024896,emotion,positive,negative,0.2023982227483805,emotion_positive_negative
normal,56024896,emotion,positive,positive,0.2652298378511324,emotion_positive_positive
normal,56024896,shape,negative,negative,0.2473185792091635,shape_negative_negative
normal,56024896,shape,negative,positive,0.2007317923138834,shape_negative_positive
normal,56024896,shape,positive,negative,0.3656303490037093,shape_positive_negative
normal,56024896,shape,positive,positive,0.295814173434747,shape_positive_positive
normal,56027303,emotion,negative,negative,0.3666858412367639,emotion_negative_negative
normal,56027303,emotion,negative,positive,0.2452466258754189,emotion_negative_positive
normal,56027303,emotion,positive,negative,0.3593236017400695,emotion_positive_negative
normal,56027303,emotion,positive,positive,0.2084072173486024,emotion_positive_positive
normal,56027303,shape,negative,negative,0.3880903449651444,shape_negative_negative
normal,56027303,shape,negative,positive,0.3971090281354357,shape_negative_positive
normal,56027303,shape,positive,negative,0.2879224106026345,shape_positive_negative
normal,56027303,shape,positive,positive,0.2695841676041238,shape_positive_positive
normal,56035722,emotion,negative,negative,0.4659788825879325,emotion_negative_negative
normal,56035722,emotion,negative,positive,0.3360590301583435,emotion_negative_positive
normal,56035722,emotion,positive,negative,0.2873596894368691,emotion_positive_negative
normal,56035722,emotion,positive,positive,0.3632819666371452,emotion_positive_positive
normal,56035722,shape,negative,negative,0.2001308509293608,shape_negative_negative
normal,56035722,shape,negative,positive,0.3450545656966813,shape_negative_positive
normal,56035722,shape,positive,negative,0.4060664774356022,shape_positive_negative
normal,56035722,shape,positive,positive,0.205897620189482,shape_positive_positive
normal,56040135,emotion,negative,negative,0.3908656740374579,emotion_negative_negative
normal,56040135,emotion,negative,positive,0.393476495986474,emotion_negative_positive
normal,56040135,emotion,positive,negative,0.31422364457714,emotion_positive_negative
normal,56040135,emotion,positive,positive,0.2001227987025125,emotion_positive_positive
normal,56040135,shape,negative,negative,0.5270861910902931,shape_negative_negative
normal,56040135,shape,negative,positive,0.4063437717501995,shape_negative_positive
normal,56040135,shape,positive,negative,0.3822920436666147,shape_positive_negative
normal,56040135,shape,positive,positive,0.4211117490141153,shape_positive_positive
